altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
449,285.231,96046.1,1.17306,338.566,1.80E-05
450,285.225,96034.6,1.17295,338.563,1.80E-05
451,285.218,96023.1,1.17283,338.559,1.80E-05
452,285.212,96011.6,1.17272,338.555,1.80E-05
453,285.205,96000.1,1.17261,338.551,1.80E-05
454,285.199,95988.6,1.17249,338.547,1.80E-05
455,285.192,95977.1,1.17238,338.543,1.80E-05
456,285.186,95965.6,1.17226,338.539,1.80E-05
457,285.179,95954.1,1.17215,338.535,1.80E-05
458,285.173,95942.6,1.17204,338.532,1.80E-05
459,285.166,95931.1,1.17192,338.528,1.80E-05
460,285.16,95919.6,1.17181,338.524,1.80E-05
461,285.153,95908.1,1.1717,338.52,1.80E-05
462,285.147,95896.6,1.17158,338.516,1.80E-05
463,285.14,95885.1,1.17147,338.512,1.80E-05
464,285.134,95873.7,1.17135,338.508,1.80E-05
465,285.127,95862.2,1.17124,338.505,1.80E-05
466,285.121,95850.7,1.17113,338.501,0.000017969
467,285.114,95839.2,1.17101,338.497,1.80E-05
468,285.108,95827.7,1.1709,338.493,1.80E-05
469,285.101,95816.2,1.17079,338.489,0.000017968
470,285.095,95804.7,1.17067,338.485,1.80E-05
471,285.088,95793.3,1.17056,338.481,1.80E-05
472,285.082,95781.8,1.17045,338.478,0.000017967
473,285.075,95770.3,1.17033,338.474,1.80E-05
474,285.069,95758.8,1.17022,338.47,1.80E-05
475,285.063,95747.4,1.1701,338.466,0.000017966
476,285.056,95735.9,1.16999,338.462,1.80E-05
477,285.049,95724.4,1.16988,338.458,1.80E-05
478,285.043,95712.9,1.16976,338.454,0.000017965
479,285.036,95701.5,1.16965,338.451,1.80E-05
480,285.03,95690,1.16954,338.447,1.80E-05
481,285.023,95678.5,1.16942,338.443,1.80E-05
482,285.017,95667.1,1.16931,338.439,1.80E-05
483,285.01,95655.6,1.1692,338.435,1.80E-05
484,285.004,95644.1,1.16908,338.431,1.80E-05
485,284.998,95632.7,1.16897,338.427,1.80E-05
486,284.991,95621.2,1.16886,338.424,1.80E-05
487,284.984,95609.7,1.16874,338.42,1.80E-05
488,284.978,95598.3,1.16863,338.416,1.80E-05
489,284.971,95586.8,1.16852,338.412,1.80E-05
490,284.965,95575.4,1.1684,338.408,1.80E-05
